source,target,weight
j43HgwYFKfk,n8iP75gIpmw,2
j43HgwYFKfk,ndAZjHqzzT8,1
j43HgwYFKfk,is3Mk5oC19g,1
06mFNPU0aB8,6W4u8sGEnGM,1
yLZS3JiEBg8,WIUZtitfLRw,1
yLZS3JiEBg8,ndAZjHqzzT8,2
n8iP75gIpmw,PjmxCj-a9Hg,1
n8iP75gIpmw,ndAZjHqzzT8,1
n8iP75gIpmw,b_Hkrkl3adA,1
ndAZjHqzzT8,WIUZtitfLRw,1
6W4u8sGEnGM,PjmxCj-a9Hg,1
