source,target,weight
UCvl1tzQeBeGy6efPTRJXSCw,UCq3mDTTRZnUybct5M9OSXbg,1
UCvl1tzQeBeGy6efPTRJXSCw,UCfjhejO7LZy4doXURa7LZCQ,1
UCvl1tzQeBeGy6efPTRJXSCw,UCwCfs-2zbD5k0lG-UVg_JBw,1
UCRAquv8el-tQ30bN7MlmySQ,UCpe5jW3MIqkgTJ-PgkzvM6Q,1
UCRAquv8el-tQ30bN7MlmySQ,UCqCrvuoJpC-aVb0f4logQRQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCDrmf9y9nLgFY5wnA2hTuGA,1
UCRAquv8el-tQ30bN7MlmySQ,UCaKAjTW9MVub_clgr4DRYjQ,1
UCRAquv8el-tQ30bN7MlmySQ,UC-fiZBS5Gp1eCJd9ucgWnCg,1
UCRAquv8el-tQ30bN7MlmySQ,UCeDNEtI8_a42bZ47wJiJMwQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCZeIIQrGAedW8tCbKWmGY-A,1
UCRAquv8el-tQ30bN7MlmySQ,UCwgCc9Jd_gG-uLE_SY-FfPg,1
UCRAquv8el-tQ30bN7MlmySQ,UCCBYcToQ2dwkd6TJh0FSyDg,1
UCRAquv8el-tQ30bN7MlmySQ,UCQqlPPUGqAfWjd-FSh_qn7Q,1
UCRAquv8el-tQ30bN7MlmySQ,UCUoYsrx1oZnCZ0usbBJn4fA,1
UCRAquv8el-tQ30bN7MlmySQ,UC_LYoGs5C3mbZKZuKuqYCvw,1
UCRAquv8el-tQ30bN7MlmySQ,UColMq7LmaoY3MT6aIDGrGvA,1
UCRAquv8el-tQ30bN7MlmySQ,UCRvPToDkkumha7WJAfCDk1A,1
UCRAquv8el-tQ30bN7MlmySQ,UCu8_3-Wg-YzNyvHYQDEscfw,1
UCRAquv8el-tQ30bN7MlmySQ,UCylqlpsh8ENNM1LqgQ1KbxA,1
UCRAquv8el-tQ30bN7MlmySQ,UC32oozucwCF3q8d4m8fyOUg,1
UCRAquv8el-tQ30bN7MlmySQ,UCQyOePccUP-fIJYzchAgZYw,1
UCRAquv8el-tQ30bN7MlmySQ,UCV0lM03g5fg5pbPj97-sAtA,1
UCRAquv8el-tQ30bN7MlmySQ,UCW-JC6lebVmf2P1dmY_L94g,1
UCRAquv8el-tQ30bN7MlmySQ,UCAKuKvcbfnBD3kF5njNu-IA,1
UCRAquv8el-tQ30bN7MlmySQ,UC3UVO7pTbeYvZ3ILEyRDskQ,1
UCRAquv8el-tQ30bN7MlmySQ,UC816IGbFCZinfYS1LRDaaHg,1
UCRAquv8el-tQ30bN7MlmySQ,UC4Avya4kmR4Q0FrfFdBozSQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCgJNFj5dnxXpcMvmuhZDPxA,1
UCRAquv8el-tQ30bN7MlmySQ,UCkVtmkK07b2zaVVNssX4lOg,1
UCRAquv8el-tQ30bN7MlmySQ,UC1DpqK6vaPEkBOMNvypsKYg,1
UCRAquv8el-tQ30bN7MlmySQ,UCNpt5CQlTzNjlAKY6CJtClQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCiC-Jn7wdgyQV4_Urk0DkWQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCpsKOkt5iWTbenzeuq7dsmQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCWoAVGVqCn4xtINCMOTM4jg,1
UCRAquv8el-tQ30bN7MlmySQ,UClqA491Xa5fQcXcJJa-vTWw,1
UCRAquv8el-tQ30bN7MlmySQ,UCe8JZoYkX5oKUZyivHYdXhw,1
UCRAquv8el-tQ30bN7MlmySQ,UClhMWQ7XKWywYvbRnuf8QsA,1
UCRAquv8el-tQ30bN7MlmySQ,UC5hvEnRUzI4Kfvwnyi4QxqQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCGGHbtfbbe0o68etrOf0qxw,1
UCRAquv8el-tQ30bN7MlmySQ,UCgQw_Sbq3ugruDUKsq1e0-A,1
UCRAquv8el-tQ30bN7MlmySQ,UC6Uj1FT5JjDSF8vudvDxPAA,1
UCRAquv8el-tQ30bN7MlmySQ,UC7dadZG7kkGYnsNu6td0FbA,1
UCRAquv8el-tQ30bN7MlmySQ,UCsGoJEvb-cFPZ2rWoJcXzEQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCkbsS_3D-pvg1iHOld9uvIg,1
UCRAquv8el-tQ30bN7MlmySQ,UC95PSMouTx2N5CbSq0hIyrQ,1
UCRAquv8el-tQ30bN7MlmySQ,UCOcUI5XkTYNMSFhZNMIPpGg,1
UCRAquv8el-tQ30bN7MlmySQ,UCuXmOjxC-htcprLgeVXz6Tg,1
UCRAquv8el-tQ30bN7MlmySQ,UCHbwIx9pmQuf7i-4_xO2EpA,1
UCRAquv8el-tQ30bN7MlmySQ,UCwjUvRseNtJoItylIyIez7Q,1
UCRAquv8el-tQ30bN7MlmySQ,UCW80DaMjQlEUibC98Cot-Dg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCpe5jW3MIqkgTJ-PgkzvM6Q,1
UCkbsS_3D-pvg1iHOld9uvIg,UCqCrvuoJpC-aVb0f4logQRQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCDrmf9y9nLgFY5wnA2hTuGA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCaKAjTW9MVub_clgr4DRYjQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UC-fiZBS5Gp1eCJd9ucgWnCg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCeDNEtI8_a42bZ47wJiJMwQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCZeIIQrGAedW8tCbKWmGY-A,1
UCkbsS_3D-pvg1iHOld9uvIg,UCwgCc9Jd_gG-uLE_SY-FfPg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCCBYcToQ2dwkd6TJh0FSyDg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCQqlPPUGqAfWjd-FSh_qn7Q,1
UCkbsS_3D-pvg1iHOld9uvIg,UCUoYsrx1oZnCZ0usbBJn4fA,1
UCkbsS_3D-pvg1iHOld9uvIg,UC_LYoGs5C3mbZKZuKuqYCvw,1
UCkbsS_3D-pvg1iHOld9uvIg,UColMq7LmaoY3MT6aIDGrGvA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCRvPToDkkumha7WJAfCDk1A,1
UCkbsS_3D-pvg1iHOld9uvIg,UCu8_3-Wg-YzNyvHYQDEscfw,1
UCkbsS_3D-pvg1iHOld9uvIg,UCylqlpsh8ENNM1LqgQ1KbxA,1
UCkbsS_3D-pvg1iHOld9uvIg,UC32oozucwCF3q8d4m8fyOUg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCQyOePccUP-fIJYzchAgZYw,1
UCkbsS_3D-pvg1iHOld9uvIg,UCV0lM03g5fg5pbPj97-sAtA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCW-JC6lebVmf2P1dmY_L94g,1
UCkbsS_3D-pvg1iHOld9uvIg,UCAKuKvcbfnBD3kF5njNu-IA,1
UCkbsS_3D-pvg1iHOld9uvIg,UC3UVO7pTbeYvZ3ILEyRDskQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UC816IGbFCZinfYS1LRDaaHg,1
UCkbsS_3D-pvg1iHOld9uvIg,UC4Avya4kmR4Q0FrfFdBozSQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCgJNFj5dnxXpcMvmuhZDPxA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCkVtmkK07b2zaVVNssX4lOg,1
UCkbsS_3D-pvg1iHOld9uvIg,UC1DpqK6vaPEkBOMNvypsKYg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCNpt5CQlTzNjlAKY6CJtClQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCiC-Jn7wdgyQV4_Urk0DkWQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCpsKOkt5iWTbenzeuq7dsmQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCWoAVGVqCn4xtINCMOTM4jg,1
UCkbsS_3D-pvg1iHOld9uvIg,UClqA491Xa5fQcXcJJa-vTWw,1
UCkbsS_3D-pvg1iHOld9uvIg,UCe8JZoYkX5oKUZyivHYdXhw,1
UCkbsS_3D-pvg1iHOld9uvIg,UClhMWQ7XKWywYvbRnuf8QsA,1
UCkbsS_3D-pvg1iHOld9uvIg,UC5hvEnRUzI4Kfvwnyi4QxqQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCGGHbtfbbe0o68etrOf0qxw,1
UCkbsS_3D-pvg1iHOld9uvIg,UCgQw_Sbq3ugruDUKsq1e0-A,1
UCkbsS_3D-pvg1iHOld9uvIg,UC6Uj1FT5JjDSF8vudvDxPAA,1
UCkbsS_3D-pvg1iHOld9uvIg,UC7dadZG7kkGYnsNu6td0FbA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCsGoJEvb-cFPZ2rWoJcXzEQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UC95PSMouTx2N5CbSq0hIyrQ,1
UCkbsS_3D-pvg1iHOld9uvIg,UCOcUI5XkTYNMSFhZNMIPpGg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCuXmOjxC-htcprLgeVXz6Tg,1
UCkbsS_3D-pvg1iHOld9uvIg,UCHbwIx9pmQuf7i-4_xO2EpA,1
UCkbsS_3D-pvg1iHOld9uvIg,UCwjUvRseNtJoItylIyIez7Q,1
UCkbsS_3D-pvg1iHOld9uvIg,UCW80DaMjQlEUibC98Cot-Dg,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCIgoiXdIKJyUGmUoH2Lxdzg,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCbNanjFI51cwGqMAb2rOrBw,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCtiHFjFu7d5v2XxHnKFUYig,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCZjm6U576nX8WOiLhmMR3bw,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCat2qkYvqmtDNEmo2PVuhXw,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UC1WlJfQmaIskYhP4gmWoamw,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCBlm80VQ4YoV3bUJR_XhkaQ,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UC-QOpE7GOxlXcHZ8b7HbQKA,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCVdjCrh4tQoX3haNAZv-n5A,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCi2KiZq63sRq8Mfbcp-MelQ,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCPNXmbOBVeC4HS-xemvcPtQ,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCozFYHN0e_-vlQbX3wQGOug,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCQMMuADgqWUOcJpLwHOzC-g,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCrqXyRsg-_hTosURZ-uvoKg,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCGZMgmM92E3njyXNe9-kjAQ,1
UCOLHH4ZpMxPYF-Q6e6wvn5A,UCxhtlxPV8AYWaNNyU6S9H8Q,1
